,Daily patronage by mode,,,,
,,,,,
,"• Patronage counts include HOP, contactless payments, and train line-to-line transfers.",,,,
,• Patronage counts include manual counts from replacement routes and data losses.,,,,
,"• Patronage counts exclude special events, and group travel on trains.",,,,
,,,,,
Date,Day,Bus,Train,Ferry,Grand Total
25 Jul 2023,Tue," 249,852 "," 55,416 "," 8,793 "," 314,061 "
24 Jul 2023,Mon," 234,498 "," 51,297 "," 8,650 "," 294,445 "
23 Jul 2023,Sun," 91,351 "," 9,701 "," 4,202 "," 105,254 "
22 Jul 2023,Sat," 112,608 "," 18,556 "," 5,672 "," 136,836 "
21 Jul 2023,Fri," 192,873 "," 37,092 "," 6,017 "," 235,982 "
20 Jul 2023,Thu," 226,274 "," 48,007 "," 5,150 "," 279,431 "
19 Jul 2023,Wed," 248,187 "," 55,438 "," 8,919 "," 312,544 "
18 Jul 2023,Tue," 247,551 "," 53,906 "," 9,189 "," 310,646 "
17 Jul 2023,Mon," 224,156 "," 47,957 "," 7,613 "," 279,726 "
16 Jul 2023,Sun," 78,255 "," 13,409 "," 3,701 "," 95,365 "
15 Jul 2023,Sat," 98,242 "," 16,903 "," 6,291 "," 121,436 "
14 Jul 2023,Fri," 87,018 "," 16,323 "," 5,173 "," 108,514 "
13 Jul 2023,Thu," 166,007 "," 42,415 "," 8,747 "," 217,169 "
12 Jul 2023,Wed," 166,750 "," 43,211 "," 8,550 "," 218,511 "
11 Jul 2023,Tue," 166,764 "," 43,493 "," 8,808 "," 219,065 "
10 Jul 2023,Mon," 140,972 "," 36,308 "," 7,599 "," 184,879 "
09 Jul 2023,Sun," 78,782 "," 8,888 "," 3,434 "," 91,104 "
08 Jul 2023,Sat," 92,405 "," 11,486 "," 3,990 "," 107,881 "
07 Jul 2023,Fri," 148,127 "," 34,996 "," 6,685 "," 189,808 "
06 Jul 2023,Thu," 178,801 "," 43,857 "," 9,419 "," 232,077 "
05 Jul 2023,Wed," 174,881 "," 42,780 "," 8,558 "," 226,219 "
04 Jul 2023,Tue," 171,812 "," 40,252 "," 8,347 "," 220,411 "
03 Jul 2023,Mon," 142,910 "," 31,568 "," 6,076 "," 180,554 "
02 Jul 2023,Sun," 74,658 "," 8,236 "," 2,796 "," 85,690 "
01 Jul 2023,Sat," 91,552 "," 13,924 "," 3,760 "," 109,236 "
